"","V1","V2","V3"
"1",0.323628458513093,0.382952559316339,0.476571305158056
"2",0.144121442783427,0.483235533063086,0.354333644645032
"3",0.343675787312554,0.319110537157084,0.521787091432586
"4",0.270782386615306,0.258850363180223,0.328710861199758
"5",0.40234208960243,0.411800106625204,0.552754219007336
"6",0.00700129669886223,0.511178396758359,0.45636469191086
"7",0.205709288317374,0.535635938317488,0.394037158970006
"8",0.107975731684051,0.364154542484001,0.462624962842878
"9",0.308469537511292,0.264175591029563,0.210800107212222
"10",0.00619332146980628,0.0261639759880123,0.00793063312707331
"11",0.283178147068372,0.742409305143364,0.341230733082827
"12",0.427758866727481,0.35970504042016,0.231647524100889
"13",0.142851673378792,0.364403017758852,0.313480751780206
"14",0.192745640734702,0.454687533365921,0.418507204887029
"15",0.169884596883834,0.235238875641987,0.287869861445887
"16",0.241264740942969,0.368453210995646,0.66152338744594
"17",0.678373857656267,0.493691211921288,0.0109598649490799
"18",0.539426869262654,0.41017388832433,0.383367533689729
"19",0.384020820691521,0.517380191784712,0.576073810479746
"20",0.0479518121524311,0.0682474612184219,0.133253765257181
"21",0.27023132377041,0.305666770636652,0.630004377374391
"22",0.0159325289009134,0.0770035277615412,0.417306915967138
"23",0.237470722328604,0.61422928968983,0.524253479011246
"24",0.231973225995693,0.322686959595579,0.21179893357609
"25",0.0621465056754327,0.122626688941051,0.252180008241596
"26",0.394018694668028,0.605839509973772,0.415195111228402
"27",0.398028393791286,0.636712793320128,0.366805552285752
"28",0.0383435395362966,0.324490035727038,0.114325230433351
"29",0.378264835013623,0.637521890967298,0.0331038803291357
"30",0.29720903351033,0.396744705505552,0.582850365148973
"31",0.065688999459373,0.376511947684509,0.343804967036771
"32",0.353326316906814,0.256172907863503,0.0405628069584948
"33",0.263057576060736,0.347984283508672,0.458695553576713
"34",0.19369463487543,0.361182157612393,0.248967556212748
"35",0.0113901208087067,0.295661039845522,0.205163085793115
"36",0.165054196692568,0.342843903191755,0.261171561623156
"37",0.354444755851803,0.230322543899202,0.193993929549883
"38",0.638886178393045,0.410839134003546,0.578439847115996
"39",0.207227406524275,0.288442693827411,0.28062972026866
"40",0.380141417141371,0.462877268141481,0.391801086796861
"41",0.250904502931205,0.28959793183515,0.436977359556519
"42",0.461674029017152,0.18534660871004,0.388265464658018
"43",0.0200970680654966,0.386080410074364,0.602165686718108
"44",0.0110910939147489,0.0226363620898302,0.0274136063573889
"45",0.141412359321901,0.131934743133355,0.164006803574109
"46",0.131140456285721,0.194876232486281,0.0756700578468328
"47",0.244871472310763,0.340491740925358,0.210237570004226
